Months,Price ppl,Volume (million litres),Butterfat (%),Protein (%),,,,
Mar-06,18.11,"1,178",4.10,3.23,,,,
Apr-06,17.34,"1,191",4.09,3.21,,,,
May-06,16.82,"1,275",3.93,3.24,,,,
Jun-06,16.83,"1,178",3.83,3.23,,,,
Jul-06,17.18,"1,155",3.84,3.19,,,,
Aug-06,17.60,"1,103",3.97,3.24,,,,
Sep-06,18.45,"1,059",4.06,3.35,,,,
Oct-06,18.82,"1,072",4.13,3.38,,,,
Nov-06,19.00,"1,032",4.17,3.38,,,,
Dec-06,18.57,"1,095",4.19,3.34,,,,
Jan-07,18.03,"1,130",4.13,3.28,,,,
Feb-07,17.81,"1,020",4.08,3.25,,,,
Mar-07,17.68,"1,170",4.10,3.25,,,,
Apr-07,17.55,"1,204",4.02,3.27,,,,
May-07,17.53,"1,258",3.92,3.33,,,,
Jun-07,18.08,"1,147",3.89,3.28,,,,
Jul-07,19.65,"1,098",3.93,3.26,,,,
Aug-07,20.71,"1,074",3.97,3.31,,,,
Sep-07,23.14,"1,027",4.06,3.39,,,,
Oct-07,26.51,"1,042",4.17,3.42,,,,
Nov-07,27.27,"1,014",4.23,3.39,,,,
Dec-07,26.60,"1,069",4.20,3.32,,,,
Jan-08,25.81,"1,101",4.13,3.25,,,,
Feb-08,25.62,"1,044",4.10,3.22,,,,
Mar-08,25.73,"1,137",4.13,3.25,,,,
Apr-08,24.95,"1,139",4.09,3.26,,,,
May-08,24.49,"1,226",3.90,3.26,,,,
Jun-08,25.00,"1,127",3.92,3.25,,,,
Jul-08,25.82,"1,115",3.87,3.25,,,,
Aug-08,26.29,"1,057",4.02,3.29,,,,
Sep-08,27.00,973,4.11,3.35,,,,
Oct-08,27.36,"1,015",4.16,3.36,,,,
Nov-08,27.08,983,4.19,3.36,,,,
Dec-08,26.36,"1,048",4.19,3.32,,,,
Jan-09,25.56,"1,071",4.14,3.27,,,,
Feb-09,24.68,981,4.12,3.23,,,,
Mar-09,24.37,"1,122",4.10,3.21,,,,
Apr-09,23.25,"1,144",4.04,3.23,,,,
May-09,20.60,"1,203",3.93,3.26,,,,
Jun-09,22.40,"1,130",3.78,3.24,,,,
Jul-09,22.99,"1,101",3.83,3.22,,,,
Aug-09,23.26,"1,053",3.90,3.26,,,,
Sep-09,24.05,994,4.00,3.32,,,,
Oct-09,24.44,"1,024",4.04,3.36,,,,
Nov-09,24.87,985,4.08,3.34,,,,
Dec-09,24.70,"1,047",4.10,3.32,,,,
Jan-10,24.67,"1,051",4.11,3.30,,,,
Feb-10,24.19,978,4.07,3.26,,,,
Mar-10,24.10,"1,116",4.04,3.24,,,,
Apr-10,23.57,"1,133",3.94,3.23,,,,
May-10,23.64,"1,243",3.80,3.27,,,,
Jun-10,23.85,"1,179",3.76,3.25,,,,
Jul-10,24.29,"1,141",3.82,3.22,,,,
Aug-10,24.70,"1,109",3.85,3.25,,,,
Sep-10,25.25,"1,065",3.92,3.33,,,,
Oct-10,25.80,"1,076",4.03,3.36,,,,
Nov-10,26.17,"1,028",4.11,3.36,,,,
Dec-10,25.99,"1,072",4.15,3.37,,,,
Jan-11,25.78,"1,096",4.03,3.28,,,,
Feb-11,26.08,"1,023",3.99,3.25,,,,
Mar-11,26.56,"1,167",4.08,3.24,,,,
Apr-11,26.41,"1,191",4.02,3.22,,,,
May-11,26.38,"1,253",3.90,3.24,,,,
Jun-11,26.62,"1,172",3.94,3.23,,,,
Jul-11,27.21,"1,161",3.92,3.23,,,,
Aug-11,27.59,"1,105",4.00,3.26,,,,
Sep-11,28.13,"1,042",4.10,3.31,,,,
Oct-11,29.09,"1,062",4.13,3.32,,,,
Nov-11,29.45,"1,035",4.18,3.33,,,,
Dec-11,29.33,"1,098",4.20,3.31,,,,
Jan-12,28.97,"1,118",4.14,3.27,,,,
Feb-12,28.93,"1,057",4.13,3.26,,,,
Mar-12,28.65,"1,198",4.10,3.24,,,,
Apr-12,27.83,"1,204",4.06,3.27,,,,
May-12,26.94,"1,252",3.97,3.24,,,,
Jun-12,26.12,"1,186",3.93,3.22,,,,
Jul-12,26.32,"1,116",3.94,3.20,,,,
Aug-12,26.58,"1,063",4.00,3.22,,,,
Sep-12,27.50,997,4.11,3.29,,,,
Oct-12,29.10,994,4.19,3.33,,,,
Nov-12,30.03,974,4.20,3.34,,,,
Dec-12,30.12,"1,039",4.18,3.30,,,,
Jan-13,30.03,"1,059",4.11,3.23,,,,
Feb-13,30.07,978,4.13,3.23,,,,
Mar-13,30.07,"1,112",4.13,3.23,,,,
Apr-13,30.09,"1,112",4.10,3.21,,,,
May-13,29.96,"1,234",3.91,3.22,,,,
Jun-13,30.71,"1,177",3.84,3.21,,,,
Jul-13,31.36,"1,144",3.82,3.19,,,,
Aug-13,32.06,"1,116",3.92,3.23,,,,
Sep-13,32.96,"1,063",4.06,3.33,,,,
Oct-13,33.59,"1,088",4.08,3.32,,,,
Nov-13,34.52,"1,067",4.18,3.35,,,,
Dec-13,34.22,"1,144",4.12,3.33,,,,
Jan-14,33.87,"1,179",4.07,3.29,,,,
Feb-14,33.96,"1,099",4.07,3.27,,,,
Mar-14,33.71,"1,257",4.06,3.26,,,,
Apr-14,33.30,"1,279",4.01,3.27,,,,
May-14,32.28,"1,333",3.90,3.25,,,,
Jun-14,31.72,"1,241",3.84,3.24,,,,
Jul-14,31.60,"1,225",3.84,3.23,,,,
Aug-14,31.13,"1,178",3.92,3.27,,,,
Sep-14,30.79,"1,147",3.97,3.33,,,,
Oct-14,29.75,"1,157",4.08,3.34,,,,
Nov-14,28.83,"1,120",4.11,3.33,,,,
Dec-14,27.68,"1,156",4.10,3.31,,,,
Jan-15,26.46,"1,194",4.07,3.28,,,,
Feb-15,26.06,"1,101",4.09,3.27,,,,
Mar-15,25.05,"1,262",4.10,3.28,,,,
Apr-15,24.69,"1,293",4.02,3.29,,,,
May-15,24.14,"1,380",3.91,3.31,,,,
Jun-15,23.83,"1,302",3.90,3.30,,,,
Jul-15,23.63,"1,267",3.83,3.31,,,,
Aug-15,23.43,"1,211",3.99,3.31,,,,
Sep-15,23.80,"1,166",4.03,3.44,,,,
Oct-15,24.50,"1,204",4.12,3.41,,,,
Nov-15,24.24,"1,164",4.15,3.36,,,,
Dec-15,23.97,"1,210",4.13,3.32,,,,
Jan-16,23.16,"1,225",4.15,3.28,,,,
Feb-16,23.01,"1,148",4.18,3.28,,,,
Mar-16,22.44,"1,260",4.20,3.29,,,,
Apr-16,21.64,"1,251",4.16,3.27,,,,
May-16,20.44,"1,321",3.99,3.28,,,,
Jun-16,19.95,"1,208",3.94,3.23,,,,
Jul-16,20.80,"1,165",3.94,3.22,,,,
Aug-16,21.47,"1,126",3.98,3.25,,,,
Sep-16,22.70,"1,078",4.09,3.32,,,,
Oct-16,24.20,"1,109",4.18,3.38,,,,
Nov-16,25.54,"1,078",4.25,3.39,,,,
Dec-16,26.22,"1,154",4.19,3.36,,,,
Jan-17,26.95,"1,216",4.12,3.28,,,,
Feb-17,27.47,"1,118",4.13,3.27,,,,
Mar-17,27.48,"1,284",4.12,3.26,,,,
Apr-17,26.93,"1,297",4.06,3.29,,,,
May-17,26.77,"1,363",3.95,3.29,,,,
Jun-17,26.76,"1,266",3.93,3.24,,,,
Jul-17,27.88,"1,222",3.93,3.24,,,,
Aug-17,29.07,"1,205",4.01,3.31,,,,
Sep-17,30.45,"1,156",4.13,3.39,,,,
Oct-17,31.81,"1,191",4.18,3.38,,,,
Nov-17,31.95,"1,171",4.19,3.38,,,,
Dec-17,31.62,"1,219",4.20,3.37,,,,
Jan-18,30.36,"1,234",4.16,3.32,,,,
Feb-18,29.41,"1,127",4.17,3.32,,,,
Mar-18,28.49,"1,268",4.21,3.32,,,,
Apr-18,27.40,"1,285",4.13,3.27,,,,
May-18,26.79,"1,372",3.97,3.27,,,,
Jun-18,27.18,"1,269",3.90,3.23,,,,
Jul-18,28.55,"1,230",3.89,3.21,,,,
Aug-18,29.67,"1,196",3.98,3.28,,,,
Sep-18,30.60,"1,154",4.09,3.40,,,,
Oct-18,31.44,"1,200",4.17,3.44,,,,
Nov-18,31.60,"1,174",4.20,3.44,,,,
Dec-18,30.42,"1,241",4.15,3.37,,,,
Jan-19,29.61,"1,266",4.09,3.33,,,,
Feb-19,29.35,"1,156",4.10,3.34,,,,
Mar-19,28.91,"1,329",4.12,3.33,,,,
Apr-19,28.23,"1,339",4.05,3.36,,,,
May-19,27.84,"1,395",3.96,3.36,,,,
Jun-19,27.99,"1,288",3.98,3.33,,,,
Jul-19,28.37,"1,266",3.96,3.30,,,,
Aug-19,28.62,"1,206",4.03,3.31,,,,
Sep-19,29.21,"1,157",4.14,3.41,,,,
Oct-19,29.40,"1,192",4.24,3.44,,,,
Nov-19,29.87,"1,163",4.31,3.47,,,,
Dec-19,29.41,"1,226",4.26,3.41,,,,
Jan-20,28.82,"1,246",4.17,3.36,,,,
Feb-20,28.71,"1,179",4.19,3.37,,,,
Mar-20,28.57,"1,305",4.22,3.36,,,,
Apr-20,27.35,"1,326",4.11,3.32,,,,
May-20,26.68,"1,382",3.99,3.31,,,,
Jun-20,26.89,"1,290",3.99,3.27,,,,
